id,nombre_premio,categoria,anio,serie
102,International Drama Awards,Mejor serie dramática,2018,Destino Infinita
103,Global Series Awards,Premio del público,2023,Imperio Central
104,Viewers Choice Awards,Mejor fotografía,2017,Destino Profunda
105,Continental TV Prize,Mejor serie dramática,2024,Horizonte Brillante
106,Golden Screen,Mejor guion,2019,Camino Salvaje
107,Digital Emmy,Mejor serie dramática,2026,Imperio Final
108,Digital Emmy,Mejor serie internacional,2023,Reino Perdida
109,Streaming Excellence,Mejor serie dramática,2025,Silencio Del Sur
110,Golden Screen,Mejor comedia,2013,Raíces Del Sur
111,Digital Emmy,Mejor comedia,2015,Herencia Circular
112,Viewers Choice Awards,Mejor producción,2022,Memoria Salvaje
113,Golden Screen,Mejor guion,2017,Herencia Circular
114,Global Series Awards,Mejor dirección,2026,Camino Infinita
115,Digital Emmy,Mejor serie dramática,2023,Imperio Central
116,Continental TV Prize,Mejor serie internacional,2026,Ciudad Final
117,Digital Emmy,Mejor serie documental,2025,Voces Profunda
118,Critics Choice Stream,Mejor guion,2024,Raíces Del Sur
119,Critics Choice Stream,Mejor fotografía,2026,Memoria Azul
120,International Drama Awards,Mejor serie internacional,2023,Camino Infinita
121,International Drama Awards,Mejor fotografía,2011,Herencia Lejana
122,International Drama Awards,Mejor serie de suspenso,2026,Sombras Del Sur
123,Continental TV Prize,Premio del público,2025,Horizonte Brillante
124,Festival Lumiere,Mejor serie de suspenso,2024,Archivo Circular
125,Golden Screen,Mejor guion,2023,Raíces Del Sur
126,Critics Choice Stream,Mejor dirección,2014,Puerto Brillante
127,Streaming Excellence,Mejor serie de suspenso,2021,Imperio Antigua
128,Global Series Awards,Mejor fotografía,2013,Estación Central
129,Golden Screen,Mejor comedia,2021,Silencio Dorada
130,Viewers Choice Awards,Mejor serie dramática,2021,Silencio Dorada
131,Silver Frame,Mejor serie dramática,2017,Voces Profunda
132,Digital Emmy,Mejor guion,2025,Código Secreta
133,Global Series Awards,Mejor dirección,2019,Primera Perdida
134,Festival Lumiere,Premio del público,2024,Camino Infinita
135,Critics Choice Stream,Mejor comedia,2018,Niebla Antigua
136,Continental TV Prize,Mejor serie de suspenso,2025,Código Del Sur
137,Global Series Awards,Mejor producción,2023,Refugio Central
138,Viewers Choice Awards,Mejor dirección,2023,Último Brillante
139,Golden Screen,Mejor serie de suspenso,2023,Ruta Antigua
140,Silver Frame,Mejor serie internacional,2013,Voces Salvaje
141,Festival Lumiere,Mejor serie de suspenso,2025,Archivo Final
142,Festival Lumiere,Mejor guion,2019,Amanecer Oscura
143,Viewers Choice Awards,Premio del público,2023,Herencia Secreta
144,Critics Choice Stream,Mejor serie dramática,2021,Estación Invisible
145,Critics Choice Stream,Premio del público,2016,Destino Del Sur
146,Digital Emmy,Premio del público,2017,Imperio Antigua
147,Global Series Awards,Mejor dirección,2017,Medianoche Final
148,International Drama Awards,Mejor fotografía,2023,Último Brillante
149,Critics Choice Stream,Mejor serie documental,2019,Memoria Brillante
150,Global Series Awards,Mejor guion,2022,Niebla Rota
151,International Drama Awards,Mejor serie de suspenso,2026,Archivo Final
152,Global Series Awards,Mejor guion,2024,Horizonte Secreta
153,Critics Choice Stream,Mejor serie internacional,2025,Amanecer Oscura
154,Critics Choice Stream,Mejor serie de suspenso,2010,Imperio Antigua
155,Global Series Awards,Mejor serie internacional,2020,Primera Circular
156,Digital Emmy,Mejor comedia,2018,Niebla Antigua
157,International Drama Awards,Mejor serie de suspenso,2025,Herencia Lejana
158,Digital Emmy,Mejor serie internacional,2025,Silencio Del Sur
159,Continental TV Prize,Mejor fotografía,2019,Sombras Central
160,Golden Screen,Mejor guion,2011,Camino Brillante
161,Golden Screen,Mejor serie dramática,2012,Amanecer Central
162,Streaming Excellence,Mejor serie dramática,2019,Primera Salvaje
163,Critics Choice Stream,Mejor dirección,2021,Horizonte Brillante
164,Continental TV Prize,Mejor serie internacional,2024,Camino Infinita 18
165,Continental TV Prize,Mejor serie documental,2025,Reino Secreta
166,International Drama Awards,Mejor guion,2025,Código Salvaje
167,Global Series Awards,Mejor dirección,2015,Frontera Brillante
168,Golden Screen,Mejor serie internacional,2013,Frontera Brillante
169,Streaming Excellence,Mejor producción,2017,Destino Profunda
170,Global Series Awards,Mejor guion,2020,Niebla Oscura
171,Golden Screen,Premio del público,2019,Frontera Perdida
172,International Drama Awards,Mejor guion,2025,Marea Central
173,Silver Frame,Mejor serie documental,2026,Primera Perdida
174,Critics Choice Stream,Premio del público,2025,Destino Profunda
175,Viewers Choice Awards,Mejor dirección,2023,Voces Lejana
176,International Drama Awards,Mejor serie dramática,2013,Imperio Antigua
177,International Drama Awards,Mejor serie dramática,2024,Reino Secreta
178,Critics Choice Stream,Premio del público,2026,Mirada Rota
179,Critics Choice Stream,Mejor producción,2025,Sombras Del Sur
180,Global Series Awards,Mejor producción,2024,Destino Infinita
