id,titulo,genero,anio_estreno,temporadas,plataforma,pais
56,Secreto Oscura,Drama,2013,3,CapeView,Reino Unido
57,Silencio Dorada,Documental,2021,6,Global Series Hub,España
58,Destino Del Sur,Acción,2014,1,Global Series Hub,España
59,Archivo Central 42,Comedia,2009,1,Kiwi Stories,México
60,Refugio Central,Suspenso,2007,5,Sakura Plus,India
61,Pacto Nueva,Acción,2024,5,BritBox Global,Sudáfrica
62,Primera Perdida,Histórica,2011,2,Latam Series,Nigeria
63,Luz Azul,Ciencia ficción,2006,7,Asia Drama Plus,India
64,Último Central,Romance,2017,4,StreamFlix,Estados Unidos
65,Reino Perdida,Crimen,2005,7,Global Series Hub,Nueva Zelanda
66,Horizonte Secreta,Fantasía,2024,4,Horizon Plus,México
67,Refugio Salvaje,Crimen,2015,7,Europa Cine,Brasil
68,Herencia Azul,Crimen,2018,1,Nollywood Play,Reino Unido
69,Horizonte Invisible,Comedia,2005,2,Sakura Plus,India
70,Herencia Rota,Comedia,2017,5,CineMax Play,Japón
71,Ciudad Final,Comedia,2018,5,Asia Drama Plus,Nigeria
72,Raíces Central,Comedia,2009,2,Kiwi Stories,Egipto
73,Horizonte Brillante,Crimen,2008,4,StreamFlix,Estados Unidos
74,Amanecer Infinita,Fantasía,2006,1,Lumiere Play,Australia
75,Código Del Sur,Histórica,2014,1,Brasil Play,Egipto
76,Luz Salvaje,Crimen,2024,1,CineMax Play,India
77,Imperio Antigua,Romance,2009,8,Nile Screen,Francia
78,Raíces Del Sur,Documental,2007,5,Brasil Play,España
79,Horizonte Secreta 4,Documental,2006,7,IberiaTV,Alemania
80,Amanecer Dorada,Crimen,2017,4,Bollywood Now,Francia
81,Silencio Del Sur,Romance,2025,4,Aussie Vision,Corea del Sur
82,Medianoche Final,Crimen,2011,6,Asia Drama Plus,México
83,Archivo Final,Ciencia ficción,2025,5,StreamFlix,Australia
84,Marea Invisible,Fantasía,2011,2,Europa Cine,Reino Unido
85,Raíces Secreta,Suspenso,2016,5,CineMax Play,Alemania
86,Código Secreta,Ciencia ficción,2022,5,Lumiere Play,Francia
87,Imperio Central,Drama,2023,8,Europa Cine,México
88,Marea Central,Histórica,2010,3,IberiaTV,Estados Unidos
89,Primera Salvaje,Suspenso,2017,7,Nollywood Play,India
90,Voces Lejana,Histórica,2023,6,Nile Screen,Brasil
91,Imperio Final,Documental,2019,7,Europa Cine,España
92,Imperio Antigua 12,Acción,2021,7,Europa Cine,Nigeria
93,Primera Circular,Romance,2017,6,Lumiere Play,Sudáfrica
94,Mirada Azul,Romance,2016,2,Asia Drama Plus,India
95,Sombras Del Sur,Histórica,2025,5,Asia Drama Plus,Australia
96,Último Final,Acción,2014,5,StreamFlix,Francia
97,Sombras Antigua,Comedia,2015,7,Global Series Hub,Brasil
98,Voces Profunda,Documental,2015,4,Bollywood Now,Estados Unidos
99,Reino Secreta,Fantasía,2023,1,Kiwi Stories,México
100,Camino Salvaje,Fantasía,2008,2,Berlin Stream,Egipto
101,Silencio Profunda,Romance,2012,7,Kiwi Stories,Nigeria
102,Refugio Eterna,Ciencia ficción,2017,4,Asia Drama Plus,Estados Unidos
103,Estación Invisible,Romance,2007,1,CineMax Play,Francia
104,Amanecer Secreta,Suspenso,2022,5,CineMax Play,India
105,Archivo Circular,Comedia,2021,3,Berlin Stream,Egipto
106,Primera Antigua,Romance,2009,3,BritBox Global,Egipto
107,Camino Infinita,Crimen,2023,3,CapeView,Egipto
108,Amanecer Azul,Comedia,2025,3,Kiwi Stories,Nigeria
109,Horizonte Brillante 81,Ciencia ficción,2019,6,K-Drama World,Corea del Sur
110,Frontera Brillante,Comedia,2005,1,Lumiere Play,Sudáfrica
111,Camino Infinita 18,Romance,2006,1,Horizon Plus,España
112,Destino Profunda,Fantasía,2017,8,BritBox Global,Francia
113,Herencia Secreta,Fantasía,2023,2,Sakura Plus,Japón
114,Medianoche Final 55,Comedia,2011,6,Aussie Vision,Reino Unido
115,Amanecer Central,Drama,2011,1,IberiaTV,España
116,Raíces Final,Fantasía,2005,6,K-Drama World,Nigeria
117,Voces Salvaje,Crimen,2007,1,Horizon Plus,Nigeria
118,Marea Eterna,Documental,2022,1,Nile Screen,Sudáfrica
119,Mirada Rota,Romance,2007,4,Nollywood Play,India
120,Destino Secreta,Histórica,2018,4,CineMax Play,Alemania
